src_id,name,city,website,scraped_emails,fetch_status
osm:301331693,Sandy Spring Hotel,1009-pattaya,http://www.sandyspringhotel.com/,info@sandyspringhotel.com,ok
osm:301775267,Riviera Beach,1009-pattaya,http://rivierabeach.be/,mail@rivierabeachpattaya.com; axel.sune@gmail.com; reservation@rivierabeachpattaya.com,ok
osm:303896291,P.72 Hotel,1009-pattaya,https://www.p72hotel.com/,p72hotelbooking@thepattayacity.com,ok
osm:415291974,Sanya Apartments,1009-pattaya,https://www.sanya-apartments.com/,,ok
osm:423747049,Jomtien Garden,1009-pattaya,https://www.jomtiengarden.com/,,fetch_failed
osm:1463832605,Nightstar,1009-pattaya,https://www.sanya-nightstar.com/,,ok
osm:1557058005,Armageddon,1009-pattaya,http://www.armageddonbar.com/,,fetch_failed
osm:1560362829,Two Lions Pub,1009-pattaya,http://twolionsrestaurant.com/,,ok
osm:1572477702,Chan Resort,1009-pattaya,https://www.chanresort.com/,chanresort@gmail.com,ok
osm:1572477723,Baan Souy Resort,1009-pattaya,https://www.baansouy.com/,,ok
osm:1592534374,The Venue,1009-pattaya,http://www.thevenuejomtien.com/home.php,,fetch_failed
osm:1598745131,Thai Thong Villa,1009-pattaya,http://www.thaithongvilla.com/,,fetch_failed
osm:1602059396,Berliner Eck,1009-pattaya,https://berlinereckpattaya.de.tl/,,ok
osm:1603306793,Opal House,1009-pattaya,https://www.opalhousepattaya.com/,,ok
osm:1603325139,Golden Inn,1009-pattaya,http://www.jomtiengoldeninn.com,,fetch_failed
osm:1837350852,The Lion Pub,1009-pattaya,http://www.lionpubpattaya.com/,,fetch_failed
osm:1837350853,Liberty Mansion,1009-pattaya,http://www.libertymansion.com/,,fetch_failed
osm:1877279839,Blue Moose Sports Bar & Grill,1009-pattaya,https://www.bluemoosesportsbar.com/,,fetch_failed
osm:1913901819,Studio 69 Darkside Bar & Grill,1009-pattaya,https://studio69bar.com/,hello@studio69bar.com,ok
osm:2031791281,Sea Falcon,1009-pattaya,http://www.pattayaseafalcon.com/,,fetch_failed
osm:2240498415,Siam Pura Resort,1009-pattaya,http://www.siampuraresort.com/,,fetch_failed
osm:2280693794,Radi Mansion,1009-pattaya,https://www.radi-mansion.com/,,fetch_failed
osm:2361490400,GJ's Hotel & Bar,1009-pattaya,http://www.gjhotel-pattayaland1.com/,,fetch_failed
osm:2642007312,JP Villa Hotel,1009-pattaya,http://www.jpvillapattaya.com/,,ok
osm:2642007315,Yellow Moon,1009-pattaya,http://www.yellowmoonpattaya.com/,,fetch_failed
osm:2739066094,Tiya's Place,1009-pattaya,http://www.tiyasplace.com/,,fetch_failed
osm:2753443638,A&M Villa Pattaya,1009-pattaya,https://www.amvillapattaya.com/,,fetch_failed
osm:2769314534,Kilkenny,1009-pattaya,http://www.kilkennypattaya.com/,,fetch_failed
osm:2769363991,The Irish Rovers,1009-pattaya,https://www.i-rovers.com/,,ok
osm:2769363994,The Rock House,1009-pattaya,http://www.rockhousepattaya.com/,,fetch_failed
osm:2771953905,The Naughty Club,1009-pattaya,https://thenaughtyclubpattaya.com/,,fetch_failed
osm:2803300844,Holidays Home,1009-pattaya,http://www.holidayshomepattaya.com,,fetch_failed
osm:2813205763,P Place,1009-pattaya,http://www.midtownpattaya.com,,fetch_failed
osm:2822445475,Scandalic Guesthouse,1009-pattaya,http://www.scandalic.nu/,,fetch_failed
osm:2862174400,Midtown Hotel,1009-pattaya,http://www.midtownpattaya.com/,,fetch_failed
osm:2984022162,Horseshoe Point,1009-pattaya,https://www.horseshoepoint.com/?MPage=21,info@horseshoepoint.com,ok
