osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1171815833,node,amenity,restaurant,Muslim Restaurant,,,9.9643255,98.6341031,,,,,,,,,,,,
1757329007,node,tourism,guest_house,Casa Teresa Guesthouse,,,9.9588225,98.630093,,,,,,,,,,,,
2072438775,node,amenity,restaurant,Pon's Place,,,9.9623718,98.6333383,,https://www.ponplace-ranong.com/,,,,,,"192, Ruangrat Road, 8500",,thai;western,,
2427378256,node,amenity,restaurant,ร้านอาหาร ระนอง โอชา,Restaurants Ranong ocha,,9.9544143,98.616742,,,,,,,,,,dim_sum,,
2633672032,node,tourism,hotel,Ranong Garden,,,9.9510795,98.6349171,,,,,,,,,,,,
2740711453,node,amenity,bar,Mark,,,9.977231,98.5524326,,,,,,,,,,,,
2740711455,node,tourism,hotel,Penguin,,,9.9804564,98.5517058,,,,,,,,,,,,
2740711458,node,tourism,hotel,Honey Bear,,,9.9794289,98.5536799,,,,,,,,14091,,,,
2740711756,node,tourism,attraction,Clock Tower,Clock Tower,,9.9781353,98.5520486,,,,,,,,14091,,,,
2870430653,node,tourism,guest_house,Kiwi Orchid Guesthouse,,,9.9566616,98.6389129,,,,,,,,,,,,
3792793701,node,tourism,hostel,Luang Poj Boutique Hostel,,,9.9641333,98.6339274,,,,,,,,,,,,
3835575957,node,amenity,marketplace,Night food market,,,9.9577994,98.6318272,,,,,,,,,,,,
3843613015,node,tourism,guest_house,Thansila bed & breakfast,,,9.9597486,98.6461124,,,,,,,,,,,,
4193382789,node,tourism,hotel,Numsai Khaosuay Resort,,,9.9596382,98.636364,+6677834888,https://www.numsaikhaosuay.com/,,,,info@numsaikhaosuay.com,24/7,"14/19, Poemphon Rd., Khaoniwate",,,,
4319291076,node,tourism,viewpoint,Victoria Point,Victoria point,,9.9744867,98.5519155,,,,,,,,,,,,
4373135295,node,amenity,cafe,,209 Kafe,,9.9637994,98.6338902,,,,,,,,,,,,
