src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:2241090703,,osm,Orchid Guest House,,,guest_house,guest_house,False,12.2423313,102.5113367,,"92, ถนน หลักเมือง, 23000",+66927658400,https://www.orchidguesthousetrat.com/,orchidguesthouse@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:13068090576,,osm,Thinglish Kitchen,,,restaurant,restaurant,True,12.3358836,102.4833231,,"198, Soi Samukee, Khao Saming, Khao Saming, Trat, 23130",+66 98 486 1642,https://thinglishlifestyle.com/,contact@thinglishlifestyle.com,,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4750152023,,osm,,,Trat Center Hotel,hotel,hotel,False,12.2494047,102.5094059,,"45/65, th Tasaban 5",039531234,http://www.tratcenterhotel.com,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4684791493,,osm,trat City Hotel,,,hotel,hotel,False,12.2579015,102.5086968,,trat,,https://www.tratcityhotel.com/home,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4702916989,,osm,trat City Hotel,,,hotel,hotel,False,12.254881,102.508678,,"trat, 23000",,https://www.tratcityhotel.com/home,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4751799521,,osm,,,Sang Fah,restaurant,restaurant,True,12.2473425,102.5109605,,Sukhumvit Road,039511222,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6502548885,,osm,,,Pu Noodle Shop Sukhumvit,restaurant,restaurant,True,12.2429847,102.5123852,,,+6639511972,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11905273569,,osm,,,NP guest house,hostel,hostel,False,12.2420635,102.5116342,,"33-35, ซอยยายอ่อน, 23000",+66 96 145 7415,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13356984430,,osm,เช้าเส้นเย็นเต็ก,,,restaurant,restaurant,True,12.2474377,102.5082573,,"16/11, ถนน เทศบาล5, วังกระแจะ, เมือง, ตราด, 23000",0650249536,n_emt12@hotmail.com,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1651157654,,osm,Pop Guest House,,,guest_house,guest_house,False,12.2420612,102.5107715,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1651157668,,osm,Pier 112,,,restaurant,restaurant,True,12.240728,102.5129405,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1651157697,,osm,Corner Cafe,,,cafe,cafe,True,12.2417235,102.5119786,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:1651157718,,osm,Residang House,,,guest_house,guest_house,False,12.2408353,102.5130535,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1651161784,,osm,Trad Hotel,,,hotel,hotel,False,12.2442309,102.5113464,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1651162237,,osm,My Bar,,,bar,bar,True,12.2482291,102.5090876,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:1787921706,,osm,Rimklong Boutique Hotel,,,hotel,hotel,False,12.2418179,102.5129048,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1862810080,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,12.2258764,102.5049243,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:2241016339,,osm,Tok Guest House 2,,,guest_house,guest_house,False,12.2447044,102.5082118,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
