osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
339079060,node,tourism,guest_house,Thakek Travel Lodge,,,17.39747,104.825301,,,,,,,,,,,,
671140937,node,shop,coffee,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,17.3958325,104.7813801,,,,,,,,,,coffee_shop,,PTT
1164667293,node,tourism,hotel,Hotel,phone thep hotel,โรงแรมพรเทพ,17.41095,104.8002,051212929,,,,,,24/7,,,,,
1164667376,node,tourism,guest_house,Chansathit Guesthouse,,,17.4103,104.79979,,,,,,,,,,,,
1164667403,node,tourism,guest_house,Tha Keck M Guesthouse,,,17.4005571,104.8069448,,,,,,,,,,,,
1164667466,node,tourism,guest_house,Mouthong Gh,,,17.39982,104.80922,,,,,,,,,,,,
1578299811,node,tourism,guest_house,Southida Guesthouse,,,17.3960384,104.8036629,,,,,,,,,,,,
1839434725,node,shop,alcohol,,,,17.4032301,104.7858014,,,,,,,,,,,,
1839434727,node,tourism,hotel,777Hometel,,,17.4038238,104.7855332,,,,,,,,,,,,
1839434728,node,amenity,bar,,,,17.403854,104.7876044,,,,,,,,,,,,
1839434729,node,amenity,bar,,,,17.4041822,104.7870782,,,,,,,,,,,,
1839434733,node,amenity,bar,,,,17.4047145,104.7877112,,,,,,,,,,,,
1839434736,node,amenity,bar,,,,17.4039979,104.7874322,,,,,,,,,,,,
1839434738,node,amenity,pub,OHIO,,,17.4040254,104.7865152,,,,,,,,,,,,
2470188270,node,amenity,restaurant,Mrs. Boua,,,17.3941012,104.8035118,,,,,,,,,,,,
2470188271,node,amenity,restaurant,Emnga Restaurant,Emnga Restaurant,,17.3943405,104.8034852,,,,,,,Mo-Su 09:00-22:30,,,,,
2470188273,node,amenity,restaurant,Ms. Noy,,,17.3944438,104.8034444,,,,,,,,,,,,
2470188274,node,amenity,restaurant,Ms. Somsi,,,17.3941983,104.8035195,,,,,,,,,,,,
