src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:7856832637,,osm,โรงแรม โนเบิลเพลส,โรงแรม โนเบิลเพลส,Noble Place Hotel,hotel,hotel,False,15.8018081,104.1453347,,,+6645714300,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7865947146,,osm,โรงแรม สันปลาตอง,โรงแรม สันปลาตอง,San Pla Tong Hotel,guest_house,guest_house,False,15.8208358,104.1250813,,,+6645712565,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13537182491,,osm,ชูรส by ลาบห้องข่า,,,restaurant,restaurant,True,15.80614,104.1536083,,"406, ถนนวิทยะธำรงค์, ในเมือง, เมือง, yasothon, 35000",0951935624,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13832454946,,osm,ลาบรื่น LaabRuen Yasothon,,LaabRuen Yasothon,restaurant,restaurant,True,15.7991849,104.1432542,,"136/4, วารีราชเดช, ในเมือง, เมือง, ยโสธร, 35000",+66611942419,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3565070193,,osm,In town hotel,,,hotel,hotel,False,15.788157,104.1500744,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4184981690,,osm,โรงแรม พี เค การ์เด้น,โรงแรม พี เค การ์เด้น,PK Garden House,guest_house,guest_house,False,15.8283772,104.1171587,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4185374991,,osm,Nightclub,,,nightclub,nightclub,False,15.8289133,104.1169975,,,,,,,nightclub,,,,,1,2,1,+2 tourism category,
osm:4561546691,,osm,ข้าวมันไก่หลังศาล จ.ยโสธร,ข้าวมันไก่หลังศาล จ.ยโสธร,,restaurant,restaurant,True,15.7993778,104.1417547,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4561601189,,osm,ข้าวมันไก่หน้า รพ.นายแพทย์หาญ,ข้าวมันไก่หน้า รพ.นายแพทย์หาญ,,restaurant,restaurant,True,15.7921742,104.1448807,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4913909022,,osm,,,Night Food Market,restaurant,restaurant,True,15.7971445,104.1424608,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:5568699585,,osm,Rider One Motorcycle Cafe Shop,,,cafe,cafe,True,15.7874937,104.1698418,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:5616797021,,osm,,,,hotel,hotel,False,15.8133849,104.1518561,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:5616797022,,osm,,,,hotel,hotel,False,15.8102645,104.1505021,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:7840984923,,osm,กาแฟหอม,กาแฟหอม,Hom Café,cafe,cafe,True,15.7720746,104.1800478,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7840998316,,osm,Café Amazon,,,cafe,cafe,True,15.7561194,104.2109683,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7841038178,,osm,ร้านอาหาร กอข้าว,ร้านอาหาร กอข้าว,Ko Khao Restaurant,guest_house,guest_house,False,15.7588428,104.2078677,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:7856555698,,osm,กรีนวิว,กรีนวิว,Green View,guest_house,guest_house,False,15.7800478,104.1798305,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:7856832638,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,15.8033837,104.1440392,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7856832641,,osm,Café Amazon,,,cafe,cafe,True,15.8153197,104.1509069,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7856832643,,osm,Doi Tor Coffee,,,cafe,cafe,True,15.8123454,104.1540813,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7856835063,,osm,สวนส้มตำ,สวนส้มตำ,Suan Somtam,restaurant,restaurant,True,15.7967212,104.1715586,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7856835064,,osm,โรงแรม ริมน้ำ รีสอร์ท,โรงแรม ริมน้ำ รีสอร์ท,Rim Nam Resort Hotel,guest_house,guest_house,False,15.7967083,104.172543,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:7856854343,,osm,ซาเล้ง,ซาเล้ง,Sa Leng,restaurant,restaurant,True,15.8041876,104.1445756,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7856867391,,osm,สวนเบียร์ สองเรา,สวนเบียร์ สองเรา,Song Rao Beergarden,pub,pub,True,15.7743538,104.1762552,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:7856879414,,osm,พ่อพงษ์ข้าวปุ้นซาว,พ่อพงษ์ข้าวปุ้นซาว,Pho Phong Khaopun Sao,restaurant,restaurant,True,15.808224,104.1464719,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7856891136,,osm,โรงแรม 99,โรงแรม 99,99 Hotel,hotel,hotel,False,15.812348,104.1535503,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:7856907406,,osm,Chill Chill,ชิลชิล,,restaurant,restaurant,True,15.799524,104.1413784,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7857119901,,osm,Lovely Cake,,,cafe,cafe,True,15.8025049,104.1381356,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7857203881,,osm,Lovely Cake,เลิฟลี่เค้ก,,cafe,cafe,True,15.8062781,104.1367301,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:7857265887,,osm,The Pizza Company,,,restaurant,restaurant,True,15.8129854,104.1328999,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7857265888,,osm,KFC,,,fast_food,fast_food,True,15.8130732,104.1328758,,,,,,,fast_food,,,,,1,2,1,+2 tourism category,
osm:7857265889,,osm,MK Restaurants,,,restaurant,restaurant,True,15.8131532,104.1328356,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7865932151,,osm,Café Amazon,,,cafe,cafe,True,15.8152642,104.1280907,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
